DS_ORIGEM_DESPESA;Fundo Especial de Financiamento de Campanha | CANDIDATOS;Fundo Partidário | CANDIDATOS;Fundo Especial de Financiamento de Campanha | PARTIDOS;Fundo Partidário | PARTIDOS;Fundo Partidário | GASTO FINAL TOTAL;Fundo Especial de Financiamento de Campanha | GASTO FINAL TOTAL
Publicidade por materiais impressos;420647437,58;18485111,6;5043776,95;7671920,92;26157032,520000003;425691214,53
Serviços prestados por terceiros;303248057,16;18767611,87;15440831,370000001;4970836,14;23738448,01;318688888,53000003
Produção de programas de rádio, televisão ou vídeo;123496628,46;2024422,5899999999;4773716,89;13491962,549999999;15516385,139999999;128270345,35
Despesa com Impulsionamento de Conteúdos;172597412,35;14924272,42;317650,0;162830,33;15087102,75;172915062,35
Serviços advocatícios;94758332,41;6213996,63;10352176,89;7469958,82;13683955,45;105110509,3
Despesas com pessoal;141187320,98;6181808,82;1276644,0;382542,16;6564350,98;142463964,98
Publicidade por adesivos;125582011,06;4237499,79;2145619,45;2025570,6;6263070,390000001;127727630,51
Serviços contábeis;52918607,6;2370564,76;10853996,9;3568340,77;5938905,529999999;63772604,5
Atividades de militância e mobilização de rua;134219935,33;5505069,98;542259,41;202368,0;5707437,98;134762194,74
Diversas a especificar;45621032,07;1756861,73;752452,6;1358698,3499999999;3115560,08;46373484,67
Cessão ou locação de veículos;61648999,53;2114826,85;50040,0;904244,78;3019071,63;61699039,53
Locação/cessão de bens imóveis;32462602,41;2165563,57;212885,86;595304,64;2760868,21;32675488,27
Despesas com transporte ou deslocamento;18764753,48;1297889,49;326185,19;1211542,82;2509432,31;19090938,67
Pesquisas ou testes eleitorais;10157180,75;206100,0;766982,0;1400921,0;1607021,0;10924162,75
Eventos de promoção da candidatura;15867628,34;679712,09;0,0;498126,95;1177839,04;15867628,34
Combustíveis e lubrificantes;18541557,91;964496,65;25327,5;48767,64;1013264,29;18566885,41
Locação/cessão de bens móveis (exceto veículos);9438980,33;548379,27;16144,98;177284,49;725663,76;9455125,31
Serviços próprios prestados por terceiros;8871180,5;664343,29;31000,0;20500,0;684843,29;8902180,5
Produção de jingles, vinhetas e slogans;11882959,46;679234,35;56000,0;4500,0;683734,35;11938959,46
Criação e inclusão de páginas na internet;6768571,6;386623,08999999997;0,0;151786,7;538409,79;6768571,6
Publicidade por carros de som;9047290,66;313333,95;933500,0;0,0;313333,95;9980790,66
Alimentação;4223189,77;249948,28;19500,0;29510,940000000002;279459,22;4242689,77
Publicidade por jornais e revistas;4351216,38;276133,92;0,0;420,0;276553,92;4351216,38
Pré-instalação física de comitê de campanha;3018899,02;230349,76;0,0;0,0;230349,76;3018899,02
Materiais de expediente;2087023,31;160425,58;8076,8;48965,99;209391,56999999998;2095100,11
Correspondências e despesas postais;10004966,709999999;188635,07;8104,55;0,0;188635,07;10013071,26
Despesas com Hospedagem;607710,71;77183,94;3658,83;0,0;77183,94;611369,5399999999
Água;1094793,02;24244,69;0,0;38153,96;62398,649999999994;1094793,02
Impostos, contribuições e taxas;55224,55;923,7;51744,89;40426,19;41349,89;106969,44
Segurança e prevenção, repressão e combate à violência política;845811,55;39273,94;0,0;900,0;40173,94;845811,55
Comícios;1154409,97;35630,0;0,0;0,0;35630,0;1154409,97
Aquisição/Doação de bens móveis ou imóveis;414946,19;17610,5;1033,49;16208,2;33818,7;415979,68
Energia elétrica;17696,69;0,0;0,0;23429,19;23429,19;17696,69
Encargos financeiros, taxas bancárias e/ou op. cartão de crédito;258182,07;11474,01;89588,72;7490,34;18964,35;347770,79000000004
Telefone;20287,9;6140,98;0,0;1288,6599999999999;7429,639999999999;20287,9
Despesa com geradores de energia;56772,4;3701,85;0,0;0,0;3701,85;56772,4
Passagem Aérea;827750,65;2750,04;11371,14;0,0;2750,04;839121,79
Encargos sociais;9381,95;1,0;0,0;0,0;1,0;9381,95
Reembolsos de gastos realizados por eleitores;179374,6;0,0;0,0;0,0;0,0;179374,6
